Alabama,alacourt.com,http://www.alacourt.gov/
,Just One Look ,https://pa.alacourt.com/
Alaska,CourtView ,https://records.courts.alaska.gov/eaccess/home.page.2
,Appellate Courts Case Management System,http://www.appellate.courts.state.ak.us/
Arizona,Public Access to Court Case Information,https://apps.supremecourt.az.gov/publicaccess/caselookup.aspx?AspxAutoDetectCookieSupport=1
,Maricopa County (Superior) Public Access to Court Information,http://www.superiorcourt.maricopa.gov/docket/index.asp
,Pima County (Superior),http://www.agave.cosc.pima.gov/PublicDocs/
,Chandler (Municipal) Court Case Search (non-delinquent cases),http://www.chandleraz.gov/cjis/courtcasesearch/
,Mesa (Municipal),https://ecourt.mesaaz.gov/
,Tempe (Municipal),https://courtfines.tempe.gov/tpc/
,Pima (Consolidated Justice),http://www.jp.pima.gov/Records/Records.html
,Prescott (Justice of the Peace & Municipal),http://71.216.160.127/csp/pcc/csp1.csp
Arkansas,Supreme Court and Court of Appeals Docket Search,https://caseinfo.aoc.arkansas.gov/cconnect/PROD/public/ck_public_qry_main.cp_main_idx
,CourtConnect ,https://courts.arkansas.gov/administration/acap/courtconnect
,Sebastian County (District) Fort Smith Division. ,http://www.districtcourtfortsmith.org/Online%20Services.html
California,Appellate Courts Case Information System,Appellate Courts Case Information System
,Alameda Superior,Alameda Superior
,Amador Superior,Amador Superior
,Butte Superior,Butte Superior
,Calaveras Superior,Calaveras Superior
,Colusa Superior,Colusa Superior
,Contra Costa Superior,Contra Costa Superior
,Del Norte Superior,Del Norte Superior
,Fresno Superior,Fresno Superior
,Glenn Superior,Glenn Superior
,Kern Superior,Kern Superior
,Kings Superior,Kings Superior
,Lassen Superior,Lassen Superior
,Los Angeles Superior,Los Angeles Superior
,Marin Superior,Marin Superior
,Mendocino Superior,Mendocino Superior
,Merced Superior,Merced Superior
,Monterey Superior,Monterey Superior
,Nevada Superior,Nevada Superior
,Orange Superior,Orange Superior
,Riverside Superior,Riverside Superior
,Sacramento Superior,Sacramento Superior
,San Bernardino Superior,San Bernardino Superior
,San Diego Superior,San Diego Superior
,San Francisco Superior,San Francisco Superior
,San Joaquin Superior,San Joaquin Superior
,San Mateo Superior,San Mateo Superior
,Santa Barbara Superior,Santa Barbara Superior
,Santa Clara Superior,Santa Clara Superior
,Santa Cruz Superior,Santa Cruz Superior
,Shasta Superior,Shasta Superior
,Solano Superior,Solano Superior
,Sonoma Superior,Sonoma Superior
,Stanislaus Superior,Stanislaus Superior
,Tulare Superior,Tulare Superior
,Ventura Superior,Ventura Superior
Colorado,Colorado Judiciary Court Docket Search,https://www.courts.state.co.us/dockets/
Connecticut,Case Look-up,http://www.jud.ct.gov/jud2.htm
Delaware,Virtual Docket. ,http://www.virtualdocket.com/
Federal Courts,Case Management/Electronic Case Files (CM/ECF) system,https://www.pacer.gov/cmecf/
Florida,Supreme Court Online Docket,Supreme Court Online Docket
,District Courts of Appeal Online Docket,District Courts of Appeal Online Docket
,"Online Court Records Search for Circuit and County Courts in 35 of state's 67 counties (Baker, Bradford, Calhoun, Columbia, Desoto, Dixie, Franklin, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Holmes, Jackson, Jefferson, Lafayette, Liberty, Madison, Marion, Martin, Nassau, Okeechobee, Pasco, Polk, Putnam, Santa Rosa, Sumter, Taylor, Union, Wakulla, Walton, Washington)",https://www.civitekflorida.com/ocrs/county/index.xhtml
,Alachua County,Alachua County
,Bay County,Bay County
,Brevard County,Brevard County
,Broward County,Broward County
,Charlotte County,Charlotte County
,Citrus County,Citrus County
,Clay County,Clay County
,Collier County,Collier County
,Duval County,Duval County
,Escambia County,Escambia County
,Flagler County,Flagler County
,Gadsden County,Gadsden County
,Hillsborough County,Hillsborough County
,Indian River County,Indian River County
,Lake County,Lake County
,Lee County,Lee County
,Leon County,Leon County
,Levy County,Levy County
,Manatee County,Manatee County
,Miami-Dade County,Miami-Dade County
,Monroe County,Monroe County
,Okaloosa County,Okaloosa County
,Orange County,Orange County
,Osceola County,Osceola County
,Palm Beach County,Palm Beach County
,Pinellas County,Pinellas County
,St. Johns County,St. Johns County
,St. Lucie County,St. Lucie County
,Sarasota County,Sarasota County
,Seminole County,Seminole County
,Suwannee County,Suwannee County
,Volusia County,Volusia County
,Ventura Superior,Ventura Superior
Georgia,Cobb County (Superior),Cobb County (Superior)
,"Gwinnett County (Superior, State, and Magistrate Courts)","Gwinnett County (Superior, State, and Magistrate Courts)"
Hawaii,eCourt Kokua,http://www.courts.state.hi.us/legal_references/records/jims_system_availability.html
,Ho`ohiki,http://www.courts.state.hi.us/legal_references/records/hoohiki_disclaimer.html
Idaho,Idaho iCourt Portal,https://mycourts.idaho.gov/
Illinois,Judici. ,https://www.judici.com/courts/illinois_courts.jsp
,Cook County (Circuit),Cook County (Circuit)
,DeKalb County (Circuit),DeKalb County (Circuit)
,DuPage County (Circuit),DuPage County (Circuit)
,Kane County (Circuit),Kane County (Circuit)
,Kendall County (Circuit),Kendall County (Circuit)
,Lake County (Circuit),Lake County (Circuit)
Indiana,Indiana Court Records Online,https://mycase.in.gov/default.aspx
,Doxpop Court Cases,http://www.doxpop.com/prod/court/
Iowa,Iowa Courts Online.,https://www.iowacourts.state.ia.us/ESAWebApp//DefaultFrame
